topic,file,text,sum1,sum2,sum3,sum4
D0912,D0912-B,"Undaunted by counter rallies and even a neighbor's gunshot blasts into the air,a woman whose son died in Iraq said she will continue her anti-war demonstrationnear President George W. Bush's ranch for three more weeks. ""We can't give up, no matter hard it gets,"" Cindy Sheehan said Sunday. Shestarted the protest Aug. 6 in memory of her 24-year-old son Casey, an Armyspecialist killed in Iraq last year. Her makeshift campsite along the road leading to the Western White House hasgrown to more than 100, and hundreds more have stopped by for a few hours toshow their support.","By Aug. 13 Sheehan's group of about a half-dozen activists had grown to about 300 including reporters and confronted by about 100 Bush supporters. The drainage-ditch roadside encampment, dubbed Camp Casey after Sheehan's son, was crowded and caused traffic congestion. On August 16 Sheehan announced that a neighbor had offered a spacious field about one mile from Bush's ranch to accommodate Camp Casey. Sheehan promised to remain encamped there throughout Bush's 5-weeek stay and to return whenever he does. She also announced a series of 1,000 candlelight vigils nationwide on Aug. 17. ","Over 100 protesters have joined Sheehan's roadside camp. On August 13, over 350 rallied at the site, undaunted by an earlier counter rally across the road. Sheehan vows to remain through Bush's August vacation, unless he meets with her. To get her message out, Sheehan has received aid from public relations and political operatives and a television spot. As local residents have grown irritated by the stream of protesters, Sheehan announced plans to move the camp to a field offered by one of Bush's neighbors. They plan to complete the move before a dusk candlelight vigil on August 17. ","Six days after Cindy Sheehan arrived in Texas more than 350 protestors, including members of Code Pink and True Majority, and over 100 people supporting President Bush had converged on Camp Casey, Sheehan's Texas encampment. Sheehan continued her protests and received support from liberal groups. She announced plans for 1000 candlelight protest vigils nationwide. Sheehan stated she would continue her anti-war activities for the duration of Bush's vacation unless he met with her. Sheehan was savvy in using the media for her cause. She sought to embarrass the President as a strategy to advance her political objective. ","Cindy Sheehan is receiving more support as her vigil continues. The number of protestors rose to 350 and the pro-Bush contingent reached 250, creating parking problems and traffic jams. The road encampment included 100's of white crosses representing those killed in Iraq. Someone knocked over many of these crosses, drawing outrage. On August 17, the protestors began moving to land provided by one of Bush's neighbors, where they will have more parking available. Nearly 1,000 candlelight vigils were planned to occur nationwide that evening. Sheehan also is getting public relations advice and is refusing to pay her taxes. "
D0913,D0913-A,"The US Supreme Court on Wednesday was to review the displaying in public spaces of the Ten Commandments, the fundamental moral precepts of Judeo-Christian religions, in a case that could define the extent of separation of church and state in American society. Following challenges to the use of public property for displaying the commandments in Texas and Kentucky, the court will decide under what conditions, if at all, such explicitly religious displays are permitted. The first amendment to the US Constitution establishes the principle of separation of church and state, but the details of this principle remain unclear in the face of numerous contradictory decisions by courts over many decades. Jews and Christians believe the Ten Commandments are the basic moral guidelines given to Moses directly by God on Mount Sinai. The court will review, in the Kentucky case, the legality of displaying framed copies of the Ten Commandments in two courthouses among copies of other documents that form the basis of US laws. The Texas case involves the legality of a stone monument inscribed with the commandments installed on the grounds of the state legislature.","On March 2, 2005 the Supreme Court faced the issue of whether display of the Ten Commandments (T.C.) at government buildings violates the principle of separation of church and state. Two cases from Texas and Kentucky raised several questions. Are the T.C. a religious statement, a part of legal history, or both? If courts and legislatures can call for God's help in invocations, what's wrong with displaying the T.C.? Does the appearance of the T.C. among other statuary constitute an endorsement? From justices' questions and remarks a split decision seemed likely. ","On March 2, 2005, the Supreme Court heard two cases concerning the display of the Ten Commandments on government property. In Texas, a homeless former lawyer challenged the constitutionality of an inscribed monument displayed on state capitol grounds. In Kentucky, the ACLU claimed copies displayed in two courthouses, modified twice before in response to court rulings, still violated the First Amendment because the original purpose was religious and the modifications were a sham. Supporters argued that the Ten Commandments are a recognized symbol of law, with both secular and religious functions. The justices will issue an opinion by late June. ","A homeless man, Thomas Van Orden, in Texas is challenging the constitutionality of a monument inscribed with the Ten Commandments and two stars of David on the Capitol grounds. A Kentucky case involves the constitutionality of Ten Commandments displays in two county courthouses. Opponents of the displays argue the displays violate the First Amendments prohibition on establishing an official state religion. Supporters argue the Ten Commandments serve a secular historic function as well as a religious one. The Bush administration has argued on behalf of the displays. Questioning by justices during hearings suggests they are headed for a split decision. ","The Supreme Court heard arguments in two cases on March 2nd about the conditions under which the government could display the Ten Commandments and whether such displays violated the First Amendment. The Texas case concerns a 40-year-old granite monument of the Ten Commandments, one of 17 monuments on the grounds of the state capital. The Kansas case concerns framed copies of the Ten Commandments which hang with non-religious documents in two county courthouses. The displays have been modified twice in response to lower court rulings. Justice O'Connor is expected to cast the swing votes. 
"
D0913,D0913-B,"The US political, religious and legal establishments are braced for two critical Supreme Court rulings on the Ten Commandments, weighing heavily on the separation of church and state. The decision, expected as early as Thursday, could inflame conservative evangelical groups or opposing civil liberties lobbies, and thrust the court squarely into partisan politics. And both sides of the divide will use whatever judgment day brings in the two cases to whip up partisans ahead of a looming battle over what could be imminent vacancies on the court bench. Each case is born out of the religious and cultural struggle raging in modern America between radical evangelicals and advocates of the secular state. The conservative religious right, a strong backer of President George W. Bush, argues that the country is a ""Christian"" state and decry attempts to deny that heritage.","On June 27, 2005 the Supreme Court, in a pair of 5-4 rulings, found that the display of the Ten Commandments (T.C.) in a park at the Texas State Capitol was proper, but the displays in the County Courthouses in Kentucky were so overtly religious as to be impermissible. The rulings made it clear that such disputes must be decided case by case with specific facts determining whether there is a violation of the Establishment Clause. Justice Breyer was the swing vote as the only justice voting with the majority in both cases. ","While hearing arguments, Supreme Court justices seemed to grapple for a standard which would keep the government from endorsing a religion without eradicating America's historical and cultural ties to religion. On June 27, the court ruled that displaying the Ten Commandments on government property does not necessarily violate the constitutional principle of separation between church and state. They ruled that the monument displayed at the Texas Capitol, one of thousands donated across the country and displayed along with 16 other secular sculptures, was proper. However, they ruled that the courthouse displays in Kentucky were overtly religious and therefore impermissible. ","The Supreme Court ruled 5-4 that the display of the Ten Commandments on Texas Capitol grounds did not violate constitutional principles. Chief Justice Rehnquist wrote for the court and was joined by Justices Scalia, Kennedy, Thomas and Breyer. Justices O'Connor, Stevens, Souter and Ginsburg dissented. In the Kentucky case, the prevailing opinion was that the Commandments display in two county courthouses was overtly religious and thus impermissible. Justice Souter wrote the opinion and was joined by Justices Stevens, O'Connor, Ginsburg and Breyer. The rulings conveyed the message that disputes over religious displays must be decided on a case by case. ","The Supreme Court made two separate 5-4 decisions regarding displays of the Ten Commandments, leaving the issue to be decided on a case-by-case basis. Justice Breyer cast the critical swing vote in both cases. The Court ruled that the Texas display was constitutional because it was one of 17 monuments, it had historical as well as religious significance, and it had been there for over 40 years without challenge. In contrast, in Kentucky the Commandments were initially displayed alone; the accompanying historical documents were added in response to a lawsuit, seemingly to hide a religious motivation. "
D0914,D0914-A,"A blast ripped through the Hilton hotel in Egypt's Red Sea resort ofTaba on Thursday evening, with medical sources saying at least 100people had been killed or wounded. The blast, the reasons for which were not immediately clear, killedor wounded at least 100 people of different nationalities, anEgyptian hospital source said. At least 23 Israelis were killed in the blast, Egyptian police said.","In the night of October 7, 2004, suspected terrorist car bombs ripped through three Egyptian Red Sea resorts popular with vacationing Israelis. At least 30 people were killed and at least 100 were wounded. Last month, Israeli intelligence warned Israelis to keep out of the Sinai desert, citing information about possible attacks. The explosions came amid a massive Israeli army offensive in the north of the Gaza Strip. The previously unheard of World Islamist Group claimed responsibility for the Taba Hilton Hotel blast, saying it was in revenge for Palestinians and Arabs killed in Palestine and Iraq. ","Explosions rocked three Egyptian Red Sea resorts popular with Israelis. The largest explosion occurred in the Taba Hilton just across the Israeli border and the other two in nearby villages. The explosions followed warnings from Israeli Intelligence to keep out of the Sinai Desert. It is not clear how many were killed and wounded in the blasts. Several conflicting casualty numbers were reported. There were no official reports about the cause of the blasts, but police believe they were caused by car bombs. The World Islamic Group claimed responsibility for the Taba explosion but it cannot be verified. ","Three explosions shook Egyptian resorts popular with vacationing Israelis. At least 35 people were killed and 100 wounded. Initially reported as a gas leak, the largest explosion may have been a truck bomb driven into the Taba Hilton across the border from the Israeli resort town of Eilat. Two other explosions took place to the southwest at Ras al-Sultan and Nuweiba. At least seven died at the former, most Egyptian workers. A previously unknown group, Jamaa Al-Islamiya Al-Alamiya claimed responsibility for the Taba Hilton bombing. Shin Bet intelligence service had advised Israelis not to go Sinai resorts during holidays. ","In October 2004, three terrorist car bombs shook Egyptian Red Sea resorts popular with vacationing Israelis, killing 35 (including 23 Israelis) and wounding 125. A powerful car bomb close to the entrance of the Taba Hilton destroyed much of the hotel. Two hours later two vans exploded at tourist camps in Ras Satan (Ras al-Sultan) and Nueiba. Seven died at Ras al-Sultan, mostly Egyptian workers. The previously unknown World Islamist Group claimed responsibility. The attack occurred Thursday night at the close of the Jewish holiday of Sukkot, amid an Israeli offensive in the Gaza Strip that left 93 Palestinians dead. "
D0914,D0914-B,"At least 19 people were killed in a bomb attack on a hotel in theEgyptian resort of Taba and in two resorts further south on the RedSea coast of the Sinai peninsula, an Israeli general said Friday.
 Israel on Friday blamed Al-Qaeda for a series of bomb attacks inEgypt's Sinai peninsula that left at least 19 people and another 38missing. ""According to our first information, it appears to be the aninternational terror attack with the hallmarks of Al-Qaeda, Israel'sdeputy defence minister Zeev Boim said. The attacks occurred late Thursday as the Red Sea coast of thesouthern Sinai was packed with Israeli holidaymakers celebrating thefinal day of the Jewish festival of Sukkot.
","Israeli officials strongly suspect the al-Qaida network in the three Sinai Peninsula resort blasts based on similarities with past attacks. Another previously unknown group, Islamic Unity Brigades, claimed responsibility for the series of bombings, supposedly as revenge for Israel's assassination of Hamas founder Sheikh Ahmed Yassin in March. Both a car bomb and a suicide bomber struck the Taba Hilton at about 10:00 p.m. Car bombs are suspected in the blasts which struck just before midnight at the Ras Shytan and Nuweiba resorts. Accounts of the dead and wounded varied throughout the rescue effort. ","After the explosion many Israelis immediately fled across the border. The Egyptians facilitated the evacuation. Egyptian authorities cooperated with Israeli fire and rescue personnel, allowing ambulances to cross the border to evacuate the wounded and search for those trapped in the debris. Two groups, one calling itself the Islamic Unity Brigade and a previously unknown pro-Al Qaeda Islamic group called Islamic Tawhid Brigades, claimed responsibility for the bombings. Neither group offered details of how it carried out the attack. Their claims could not be verified. Israel's deputy defense minister believed Al Qaeda terrorist network was involved. ","The massive explosion at Taba killed at least 30 and injured more than 100 in a terrorist attack aimed at Israeli tourists. Israel blamed al-Qaida but a group called ""Islamic Unity Brigades"" claimed responsibility. Israeli officials speculated that the militants were finding it difficult to attack Israelis in Israel and were choosing to attack them abroad. The attacks may also be intended to damage Egypt's tourism industry. Two blasts in quick succession had collapsed a ten story wing of the luxury Taba Hilton hotel. More than 100 rescue workers were allowed to enter the damaged area. ","On Sept. 9th Israel advised Israeli tourists to avoid the Sinai, citing a concrete threat. In early October al-Qaeda deputy Zawahiri called on Muslims to attack Israeli, Western and Asian interests everywhere, specifically Egypt. A second previously unknown group, ""Islamic Unity Brigades"", claimed credit. Possibly an Egyptian radical group was to blame. Israel blames al-Qaida, noting similarities with previous attacks, specifically multiple simultaneous strikes. The camp blasts were five seconds apart. One or more suicide bombers were involved in the Hilton attack. One car drove into the hotel lobby and detonated at 10pm. Another blew up nearby causing no casualties. "
D0915,D0915-A,"At least 30 people were killed in Iraq as insurgents intensified attacks on Iraqi and US targets, and election workers backed by troops started distributing ballot boxes for the vote in just two days' time. The latest attacks Thursday came as Iraqi exiles voting in Australia and New Zealand became the first to vote in their country's historic national elections early Friday. The exiles began casting votes as a British newspaper reported the United States and Britain have privately agreed on a way of withdrawing their troops from Iraq. Militants have promised an all-out onslaught against the election, but US President George W. Bush has urged Iraqis to brave death threats and seize what he termed an ""historic opportunity"" to vote in Iraq on Sunday.","By Thursday, January 27, just days before the Iraqi election, insurgents had destroyed some 40 polling stations. Thursday's attacks killed at least 19 and included a car bombing near Samarra and three blasts in Basra. Forty-five polling stations were attacked across Iraq on Friday. At least six were killed. Attacks occurred around Kirkuk, Baghdad, Al-Dur, Tikrit, and Shorgat. On Saturday, several polling stations were struck, but no large-scale insurgent offensive materialized. A suicide bomber of al-Zarqawi's al-Qaida network attacked a station in Khanaqin. Other attacks occurred in Baghdad, Ramadi, Kirkuk, Baiji, and Moqdadiya. At least 18 were killed on Saturday. ","Three days before Sunday's election, 40 polling stations were already destroyed. Most were empty and casualties were low. Polling station attacks escalated Thursday through Saturday but no large-scale offensive materialized. Violence was concentrated in the Sunni heartland. Polling stations were attacked with homemade bombs, car bombs, mortars, rocket-propelled grenades, and small arms fire. Two police guards were shot dead. The worst attacks were a car bomb in Samarra that hit a nearby Iraqi army patrol, killing seven; and a Zarqawi-connected suicide bomber who approached a Khanaqin polling station and set off a blast that killed eight, including three soldiers. ","In the days leading up to the January 30, 2005 elections in Iraq, more than 100 of the more than 5,000 polling places across the nation were attacked, with many of those destroyed. Although 400 Iraqi were reportedly killed in January as part of the anti-election campaign, casualties at the polling places were limited because many were empty. The attacks ranged from car-suicide bombers, to small bombs, mortars and bullets, to posters and pamphlets. The threats to the polling places came from guerilla and militant groups, to include Al-Qaeda and mujahedeen factions. They promised more violence on election day. ","Despite heavy security measures, scores of attacks targeted Iraqi polling places throughout the country in the days preceding the Sunday January 30 Iraqi elections, with some 40 polling stations destroyed. Casualties, including Iraqi policemen, soldiers, a child, and a woman, were low because most of the buildings were not occupied. The attacks struck polling places in Baghdad, Tikrit, Samarra, Basra, Kirkuk, Al-Dur, Baiji, Shorgat, and Moqdadiya. Violence is expected to escalate on Sunday and continue after the elections. Many Sunnis are expected to boycott the elections, but a high turnout is expected among Shiites and Kurds. 
"
D0915,D0915-B,"A suicide bomber killed one person and wounded four others near a polling centre in Baghdad's upmarket Mansur district Sunday as Iraq's historic vote unfolded, the interior ministry said.","On Iraq's election day, voting center attacks claimed at least six lives. A series of blasts around Baghdad included a suicide bombing which killed one and wounded four. A mortar attack killed four and wounded seven in the Shiite slum of Sadr City. In Basra, a mortar exploded, but no casualties were reported. Balad suffered two mortar attacks. One voter was killed, and a child wounded. In sharp contrast, no one went to vote in Fallujah. Most people said they were afraid. In the past days, insurgents have targeted the polling centers in Anbar province, where Fallujah is situated. ","On Sunday, attacks on polling places began shortly after polls opened and took six lives. A suicide car bomber detonated an explosives belt in Baghdad?s upmarket Mansur district, killing a policeman and injuring four, including two Iraqi soldiers. A string of explosions and machine gun fire was heard in the center of the city after the bombing. In Sadr City a mortar killed four voters and wounded seven others. A mortar shell landed near a Basra polling place. A wave of blasts believed to be mortar fire jolted Baqouba. Two mortar attacks killed a voter and wounded two in Balad. ","Despite heavy security, Iraq's election day opened with a suicide car-bomber hitting a polling place in western Baghdad causing four casualties. A mortar hit a polling place in the Baghdad slum of Sadr City, causing 13 casualties. Two polling stations in Balad sustained mortar attacks, killing one and injuring two. In Basra, a blast hit a school that was serving as a polling station, with no casualties reported. Sporadic explosions and gun fire were reported in Baghdad, Mosul, and Baquba through the day. ","Six people died in the Sunday January 30 Iraqi elections, despite heavy Iraqi security around polling places. Many Iraqis defied the insurgents' threats of attacks in order to vote; however, there was little or no turn-out in Fallujah and Samarra because of the security situation. The most serious attacks were in Baghdad, where five people including a policeman were killed, along with the suicide bomber, and in Balad, where a woman was killed. There were also attacks in Basra and Mosul but no casualties were reported. "
D0916,D0916-A," The Christian Science Monitor on Monday named a US journalist kidnapped in Iraq as freelancer Jill Carroll, who was on assignment for the US-based paper when she was seized. Carroll was abducted in western Baghdad on Saturday, by kidnappers who killed her Iraqi interpreter, the paper said in a statement, calling for her release.","U.S. journalist Jill Carroll, in Baghdad for The Christian Science Monitor (CSM), was kidnapped on Jan. 9, 2006 by gunmen who killed her interpreter. The CSM and Reporters Without Borders pleaded for her release. The U.S. forces, acting on a tip, raided a mosque causing strong protests but no positive results. On Jan. 17 an Arab television network ran a video showing Carroll as her captors threatened to kill her unless the U. S. released all female prisoners in Iraq within 72 hours. The network demanded and Carroll's family made an emotional appeal for her release. ","On January 7, Jill Carroll, a Christian Science Monitor journalist, was kidnapped in Baghdad by gunmen who killed her Iraqi interpreter. Iraqi and US investigators have been hunting for her. Acting on a tip, Iraqi and US soldiers raided a Baghdad mosque in the early morning of January 10. Six people were detained. On January 17, the Arab television network Al-Jazeera ran a video of Carroll with an accompanying message that she would be killed unless the US freed all female prisoners in Iraq within 72 hours. The kidnappers identified themselves as the Brigades of Vengeance, a previously unknown group. ","Jill Carroll, a 28-year old US journalist for the Christian Science Monitor was kidnapped in western Baghdad on her way to interview a prominent Sunni politician. She is the 31st media worker kidnapped there since 2003. Gunmen stopped her car and surrounded Carroll and her interpreter. The driver said the abduction took only a few seconds. The body of the interpreter was later found in the same neighborhood as the attack. An Arab TV network ran a video showing Carroll with a message that she would be killed unless the US freed all female prisoners in Iraq within 72 hours. ","Journalist Jill Carroll was kidnapped in western Baghdad Saturday morning, January 7th. Her car was ambushed as she traveled to interview Sunni politician Adnan al-Dulaimi, who denied any appointment with Carroll. Gunmen pulled Carroll's driver from the car and drove off with Carroll and her Iraqi interpreter, Allan Enwiyah, all in 15 seconds. The interpreter was found dead. A video showing Carroll aired Tuesday. ""Brigades of Vengeance"" threatened to kill her unless the US freed female prisoners in Iraq within 72 hours. The press and Carroll's family appealed for her release. US forces raided Umm al-Qura mosque, following a tip. "
D0916,D0916-B,"Six Iraqi women detainees are to be freed soon following a review of their case, a justice ministry official said Wednesday, as the captors of a US woman journalist demanded all female prisoners be freed. ""The decision has been taken and these detainees will be released in the coming days,"" according to the official who declined to be named.","On Jan. 18, 2005 the Iraqi justice ministry announced that six Iraqi female detainees are to be released soon. U.S. forces had earlier said they were holding a total of eight Iraqi women and on Jan. 19 stated that some may be released ""in accordance with the normal process,"" but both U.S. and Iraqi spokesmen denied reacting to the kidnappers' threats. Sen. John Kerry announced that he had discussions with Iraqi President Talabani on Carroll's fate and her mother read an appeal on CNN for her daughter's release as the 72-hour deadline approached. ","On January 19, new images of Jill Carroll surrounded by masked gunmen of the so-called Revenge Brigade were aired. Among those pleading for Carroll's release were her mother and Iraqi Muslim leaders. A US-based Islamic rights group sent representatives to Baghdad on her behalf. US Senator John Kerry discussed her plight with Iraqi officials during his visit to Iraq. Iraq's justice ministry announced that six of eight women detainees were due to be release within a week based on a review of their cases. Iraqi and US officials deny the releases would be in response to the captors' demands. ",Carroll's captors have threatened to kill her unless the US freed all female prisoners in Iraq. Iraq's justice ministry said six of eight women detainees would be released within days but denied any link with kidnappers demands. Carroll's mother made an impassioned plea for her release on behalf of the family. A leading US-based Islamic rights group was sending representatives to Baghdad seeking the release of Carroll. The White House said Carroll's safe return is a priority. Iraq's main Sunni Arab party called for Carroll's release. Senator John Kerry said the fate of Carroll overshadowed his visit to Iraq. ,"Carroll was kidnapped in one of Baghdad's most dangerous neighborhoods. The main Sunni Arab party and the Council on American-Islamic Relations (CAIR) called for Carroll's release. CAIR would send representatives to Baghdad to seek her release. It would make a public appeal to the kidnappers Thursday in Amman and Friday in Baghdad. The kidnapping of journalists was condemned. New images were aired Thursday showing Carroll surrounded by masked gunmen. Six of eight Iraqi women detainees were to be freed within days following a review of their cases, but Iraqi and US officials denied a link with kidnappers' demands. "
D0917,D0917-A,"In a historic gathering steeped in intrigue, cardinals from six continents onMonday open their first conclave of the new millennium to elect a pope who willinherit John Paul II's mantle and guide the world's 1.1 billion Roman Catholicsinto a new era. Representing 52 countries, the 115 crimson-robed ""princes"" of a church stung bypriest sex-abuse scandals and an exodus of the faithful were to celebrate amidmorning Mass at St. Peter's Basilica before sequestering themselves in theSistine Chapel at 4:30 p.m. (1430 GMT).There, seated atop a false floor hiding electronic jamming devices designed tothwart eavesdroppers, they were to take an oath of secrecy, hear a meditationfrom a senior cardinal and decide whether to take a first vote or wait untilTuesday. ""The new pope has already been chosen by the Lord. We just have to pray tounderstand who he is,"" Florence Cardinal Ennio Antonelli, considered by some tobe a dark-horse candidate, told believers who gathered for Sunday Mass at histitular church in Rome. Thousands of pilgrims and tourists were expected to converge on St. Peter'sSquare to watch the chapel chimney for the white smoke that ultimately will tellthe world that the church's 265th pontiff has been elected.","The process for electing a pope is governed by centuries-old rules with some modernization introduced in 1996. New rules on voting provided that the required 2/3 majority of cardinals would revert to a single majority if no decision had been reached after several days. On the morning of April 18, 2005, Cardinal Ratzinger, a prominent contender for pope, delivered a homily strongly endorsing orthodoxy. That afternoon, after the first voting session, a signal of white smoke from The Sistine Chapel roof, which would indicate election of a pope, turned to black, showing that no decision had been made. ","On Sunday, April 17, 115 Roman Catholic cardinals representing 52 countries and six continents arrived at the Vatican to select a successor to Pope John Paul II. On Monday, they convened a conclave, a secret and sacred gathering, in the Sistine Chapel. Following the cardinals' oath, the selection process began. A two-thirds majority is required to elect a pope. Outside, attention was focused on the chapel roof, watching for the white smoke of burning ballots that would indicate a successful election. Monday, black smoke rose from the chimney. The cardinals would return twice daily, beginning Tuesday, for additional ballots. ","The conclave was introduced to inconvenience cardinals and thus speed up the process. Today it helps preserve secrecy. The opening pageant is televised, then all news media and audiovisual or communication equipment is banned. Cardinals move into St. Martha's House and are forbidden to talk to anyone not sworn to secrecy. In 1996 John Paul II instituted new rules concerning choosing a pope. Until a two-thirds majority is reached the pattern is seven ballots and a day of rest. If a deadlock remains after 12 days, voting may resort to simple majority. Bells will ring when a pope is elected. ","On April 18, 2005, 115 cardinals, all under 80, were sequestered in the Vatican to elect a new pope. After a televised mass, they took an oath of secrecy, then moved to the Sistine Chapel, which had been swept for bugs and contained electronic jammers. They meet twice a day, voting twice each session, until one man receives a 2/3's majority. After each vote the ballots are burned - black smoke signals no one was elected. When a pope is chosen, white smoke will be accompanied by bells. Pilgrims in St. Peter's Square watched the first ballot's black smoke. "
D0917,D0917-B,"Cardinals were deadlocked Tuesday in their search for a new leader of the Roman Catholic Church, as black smoke emerging from a Vatican chimney signalled they had failed in two new votes to elect a pope. To the disappointment of the thousands of people gathered on Saint Peter's Square, the smoke puffing out of the copper chimney above the Sistine Chapel was emphatically not the white they had been hoping for to signal a new pope. For a brief moment there was heart-stopping confusion as the smoke appeared white, and the crowd surged forward toward the Vatican balcony already decked out in purple curtains for the new pope's first public appearance. Again, as after the first ballot late Monday, the plumes turned black and the crowd subsided.""We","Although many said there was no clear front-runner among the 115 cardinals, Ratzinger's sermon at the pre-conclave mass put him in the limelight for conservatives. On April 19th white smoke rising from the chapel roof at 5:15 p.m. stayed white. Ratzinger had been chosen after four ballots. His victory was cheered widely as an extension of the legacy of John Paul II, but questioned by more liberal elements concerned by a sharply divided church. There was hope in the new pope's explanation that he would be Benedict XVI after Benedict XV who gave himself to ""peacemaking, reconciliation and harmony."" ","On Tuesday, April 19, white smoke puffed from the Sistine Chapel chimney, signaling the election of a new pope. After four ballots, Roman Catholic cardinals elected German-born Joseph Ratzinger, a renowned theologian and hard-line enforcer of Catholic Church doctrine. Ratzinger took the name Pope Benedict XVI. ","In the 13th century cardinals spent more time hunting and feasting than seriously deliberating, so in 1271 a mob tore the roof off their meeting place, exposing them to the elements, and gave them only bread and water to force a decision. Now cardinals are locked up until they decide. Previously, conclaves were held in the town where the last pope died. Smoke became the logical means of signaling a decision because ballots needed to be burned. After John Paul II's death the Vatican stipulated that special chemicals be added to the smoke and bells be rung to avoid confusion. ","In April 19, the new pope was elected on the fourth ballot, signaled by the white smoke and tolling bells. Following the election, Joseph Ratzinger accepted and announced his papal name, Benedict XVI. He was then taken to a dressing chamber nicknamed the ""Room of Tears"", where he donned the papal vestments. A Chilean cardinal then proclaimed ""We have a pope!"" from the central balcony over St. Peter's Square where thousands of pilgrims were gathering. Pope Benedict then appeared and made a brief speech. The electing cardinals were on surrounding balconies. "
D0918,D0918-A,"  Betty Friedan, a founder of the modern feminist movement in the United States, died here Saturday of congestive heart failure, feminist leaders announced. She was 85. Friedan achieved prominence in l963 with the publication of her book ""The Feminine Mystique,"" which detailed the lives of American women who were expected to find fulfillment through the achievements of their husbands and children. The book sparked a movement for a re-evaluation of women's role in American society and is credited with laying the foundation of modern feminism. She was a founder of the National Organization for Women and a leading advocate of the Equal Rights Amendment, a proposed amendment to the US constitution banning sex-based discrimination, women's rights activists said. ""The movement that Friedan's energy sparked continues to grow, and is bigger today than she could ever have dreamed when she helped launch it in the 1960s,"" Eleanor Smeal, president of the Feminist Majority Foundation and a former president of the National Organization for Women, said in a statement. She said many of the advances for women and girls that Americans celebrate and enjoy today ""would not have been possible without her determination and pioneering spirit to challenge the inequities when others dared not speak. ""
I try very, very hard not to think of the conservative movement asa gaggle of thick-skulled fanatics. To help me along in this process,I seek out well-reasoned commentary from conservative intellectualssuch as Tod Lindberg of The Washington Times and Ramesh Ponnuru of theNational Review. But my efforts at ideological toleration inevitablyget spoiled when something comes along like Human Events magazine'slist of the ``Ten Most Harmful Books of the 19th and 20th Centuries.","Betty Friedan was a brilliant, visionary woman who came to prominence in 1963 with publication of her book, The Feminine Mystique. The wildly popular book brought about a re-examination of women's role in society. Friedan found that many women were not content with lives of domesticity, and she campaigned for greater access to work outside the home. She was the first president of the National Organization for Women and a leader in the drive to pass the Equal Rights Amendment. She was abrasive, and some feminists criticized her for ignoring concerns of women of color, lesbians and the poor. ","In 1963 Betty Friedan wrote a provocative book, The Feminine Mystique, that ignited the feminist movement. The book exposed American women's discontent with domesticity and workplace discrimination. Friedan started an international movement. She founded and was elected president of NOW. She helped found the National Women's Political Caucus and a group that later became NARAL. For two decades she led demonstrations, protest marches, and news conferences. Her moderate belief that women should have equal rights but not at the expense of alienating men caused a split with other feminist leaders and her relegation to the sidelines in the late 1970's. ","Betty Friedan's 1963 controversial bestseller ""The Feminine Mystique"" made her the leading spokeswoman for a revitalized women's movement. Her pioneering book identified the unhappiness of post-WWII American women unfulfilled by traditional domesticity. She was an advocate of the Equal Rights Amendment and pushed for legal abortion. She helped found the National Organization for Women in 1966 and was its first president, splitting with them over their emphasis on lesbian issues and alienating men. She led the 1970 500,000-person Women's Strike for Equality. She was a founder of the Women's Political Caucus and NARAL. She wrote ""The Second Stage"" in 1981. ","Betty Friedan's 1963 classic ""The Feminine Mystique"" started a social revolution that led to the modern women's movement. It was included in Human Events magazine's list of the ""Ten Most Harmful Books of the 19th and 20th centuries."" Frieden helped found the National Organization for Women in 1966 and was one of the founders of the National Women's Political Caucus. In 1970, she led a 500,000-person Women's Strike for Equality down Fifth Avenue. Friedan pushed for equal pay, sex-neutral help-wanted ads, maternity leave, child-care centers for working parents, and other topics considered radical at the time. "
